Festival,Engagement Rate
MEO Sudoeste,1.9443878590344263
NOS Alive,0.34992103551853343
Rock in Rio,0.592022172326691
Super Bock Super Rock,0.32346039195788673
Vodafone Paredes de Coura,0.1377688789287092
