Tipo de Bilhete,Preço,Ticket Category
"PASSE DE 3 DIAS (11, 12 E 13 DE JULHO)",204.02,All Days Pass
PASSE DE 2 DIAS (11 E 12 DE JULHO),169.66,Two Days Pass
PASSE DE 2 DIAS (12 E 13 DE JULHO),169.66,Two Days Pass
ABONO 2 DÍAS (11 Y 13 DE JULIO),169.66,Two Days Pass
ENTRADA JUEVES 11 JULIO,84.83,Daily
ENTRADA SEXTA-FEIRA 12 DE JULHO,84.83,Daily
ENTRADA SABADO 13 DE JULHO,84.83,Daily
