MUSIC EVENTS;2021;2022;AVG
NOS ALIVE;73,5;76,4;74,95
ROCK IN RIO;74,1;73,6;73,85
MEO SUDOESTE;72,5;72,8;72,65
SUPER BOCK SUPER ROCK;70,8;72,2;71,5
VODAFONE PAREDES DE COURA;71,4;71,7;71,55
