Tipo de Bilhete,Preço
"PASSE DE 3 DIAS (11, 12 E 13 DE JULHO)",204.02
PASSE DE 2 DIAS (11 E 12 DE JULHO),169.66
PASSE DE 2 DIAS (12 E 13 DE JULHO),169.66
ABONO 2 DÍAS (11 Y 13 DE JULIO),169.66
ENTRADA JUEVES 11 JULIO,84.83
ENTRADA SEXTA-FEIRA 12 DE JULHO,84.83
ENTRADA SABADO 13 DE JULHO,84.83
