Festival,Average Engagement
MEO Sudoeste,65.28569973518027
NOS Alive,27.89799646982318
Rock in Rio,126.75677097951167
Super Bock Super Rock,46.6423542842646
Vodafone Paredes de Coura,58.33042487922261
