Tipo de Bilhete,Preço,Ticket Category
Full Festival Ticket 2024,130.97,All Days Pass
Wednesday 14th August,65.49,Daily
Thursday 15th August,65.49,Daily
Friday 16th August,65.49,Daily
Saturday 17th August,65.49,Daily
Two Days Pass,130.98,Two Days Pass
